5fb20db6183b2d600a64f960,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,NAME,product_desctiption,UOM,Is veg,Harvest Price,MRP
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Gubb Paddle Brush Large,-,1 PC,TRUE,62,62
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Eyetex Standard Kajal,-,1 PC,TRUE,95,95
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Gubb Natural Loofah Brush,-,1 PC,TRUE,10,10
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Gubb 1pc New Toungue cleaner,-,1 PC,TRUE,65,65
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GUBB TONGUE CLEANER C (ROUND),-,1 PC,TRUE,69,69
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Gubb 2PC New Tongue Cleaner,-,1 PC,TRUE,99,99
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GUBB TONGUE CLEANER PLASTIC,-,1 PC,TRUE,135,135
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GUBB TONGUE CLEANER PLASTIC s,-,1 PC,TRUE,95,95
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Gubb Round Brush(Vogue),-,1 PC,TRUE,49,49
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GUBB PUMICE STONE,-,1 PC,TRUE,249,249
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Natural Glow  Fairness Himalaya,-,1 PC,TRUE,45,45
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,F&L GLOW&LOVELY,-,1 PC,TRUE,65,65
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Himalaya Face wash oil clear lemon,-,50 ml,TRUE,65,65
