5f9da187736122db93a83561,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Product Name,product_desctiption,UOM,Is veg,Harvest Price,MRP
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Britannia Nutri Choice Cookies - Thin Arrowroot, 150 g Pouch",-,150g,TRUE,22,22
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Britannia Cake - Nuts and Raisin Romance, 160g",-,1PC,TRUE,60,60
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Britannia Little Heart, 75g",-,1PC,TRUE,20,20
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Parle Biscuits - Krack Jack, 200g Pouch",-,1PC,TRUE,30,30
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Dukes Waffy Biscuits Mango, 75 g",-,1PC,TRUE,22,45
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Dukes Waffy Biscuits Orange, 75 g",-,1PC,TRUE,22,45
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Dukes Waffy Biscuits Pineapple, 75 g",-,1PC,TRUE,22,45
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Dukes Waffy Biscuits Vanila, 75 g",-,1PC,TRUE,22,45
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Dukes Waffy Biscuits  Strawberry, 75 g",-,1PC,TRUE,22,45
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Bauli Moonfils - Choco, 45g",-,1pc,TRUE,15,15
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Bauli Moonfils - Vanila, 45g",-,1pc,TRUE,15,15
