Category,Category,Image,Product Name,U.O.M,Is veg,product_desctiption,product_price,original_price
5f9a3647561c210017456fb4,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Red capsicum,kg,TRUE,-,200,220
5f9a3647561c210017456fb4,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Yellow Capsicum,kg,TRUE,-,180,200
5f9a3647561c210017456fb4,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Brocoli,kg,TRUE,-,250,300
5f9a3647561c210017456fb4,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Zucchini Green,kg,TRUE,-,120,150
5f9a3647561c210017456fb4,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Zucchini Yellow,kg,TRUE,-,120,150
5f9a3647561c210017456fb4,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Bannana Red,kg,TRUE,-,90,100
5f9a3647561c210017456fb4,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Lettuce - Iceberg,kg,TRUE,-,60,80
