5f96eec9b6627a0017e7882e,type,Image,Product Name,product_desctiption,U.O.M,Is veg,Harvest Price,MRP
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dove Daily Shine Shampo 80ml,-,1 btl,TRUE,55,62
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,DOVE DAILY SHINE SHAMPOO,-,1 pc,TRUE,110,110
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dove Daily Shine Shampoo,-,1 pc,TRUE,2,2
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dove Daily Shine Shampoo For Dull Hair,-,1 pc,TRUE,4,4
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,DOVE H R SHAMPOO,-,1 pc,TRUE,110,110
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dove Hair Fall Rescue Shampoo  8ml,-,1 pc,TRUE,4,4
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,DOVE HAIRFALL SHAMPOO,-,1 pkt,TRUE,230,230
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dove HR GH Shampoo Sach 5ml,-,1 pc,TRUE,2,2
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dove Intense Repair Shampo,-,1 pc,TRUE,116,116
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dove Intense Repair Shampo,-,1 pc,TRUE,110,110
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dove intense repair shampo,-,1 pkt,TRUE,62,62
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dove intense repair shampo,-,1 pkt,TRUE,55,55
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dove Intense Repiar Shampo 340ml,-,1 btl,TRUE,230,230
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dove Intensive Repair Shampoo,-,1 pc,TRUE,2,2
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dryness Control Shampoo,-,1 pkt,TRUE,47,47
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,DRYNESS HYDRATION ADVANCED SHAMPOO 180ML,-,1 pc,TRUE,95,95
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,EASY 5 MINUTE HAIR COLOR SHAMPOO 1U,-,1 pkt,TRUE,25,25
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Extraordinary Clay Shampoo,-,1 btl,TRUE,150,150
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,garnier men shampoo color,-,1 pc,TRUE,39,39
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GB SHAMPOO 100ML,-,1 btl,TRUE,85,85
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GENTLE DAILY CARE PROTEIN SHAMPOO 80ML,-,1 pkt,TRUE,57,57
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GENTLE DAILY CARE PROTEIN SHAMPOO 80ML,-,1 pkt,TRUE,62,62
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,hair colour shampoo,-,1 pc,TRUE,24,24
5f96eec9b6627a0017e7882e,type,Image,Hair Colour Shampoo 180ml,product_desctiption,1 pc,Is veg,500,500
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,HAIR FALL CONTROL SHAMPOO 5ML,-,1 pc,TRUE,2,2
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,herbal hairshampoo powder,-,1 pc,TRUE,300,300
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,HS  Shampoo Smooth & Silky 72 ml,-,1 pc,TRUE,68,68
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,HSAnti Dandruff Shampoo 360ml,-,1 pc,TRUE,275,275
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,karthika Damage Shield Shampoo,-,1 pc,TRUE,43,43
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,KUNKUDUKAI & BADAM SHAMPOO 45ML,-,1 pkt,TRUE,15,15
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Meera A D Shampoo,-,1 pc,TRUE,2,2
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,MEERA S&H SHAMPOO 180ML,-,1 pc,TRUE,118,118
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,meera shampoo,-,1 pkt,TRUE,2,2
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,meera Shampoo 650ml,-,1 btl,TRUE,450,450
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Park Avenue BEER SHAMPO 700ml,-,1 btl,TRUE,349,700
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,SUNSILK BLACK SHAMPO 80ML,-,1 pc,TRUE,50,50
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,sunsilk co - creation shampoo thick & long,-,1 pc,TRUE,1,1
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sunsilk Thick&Long Shampo 180ml,-,1 btl,TRUE,180,180
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Tersemme Shampoo,-,1 pkt,TRUE,3,3
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,TR5 Shampoo 75ml,-,1 btl,TRUE,60,60
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,TRESemme Shampo 85ml,-,1 btl,TRUE,55,63
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,V Care Shampoo Hair Colour Triple Plus Black 15ml,-,1 pkt,TRUE,65,65
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,V Care Shampoo Hair Colour Triple Plus Black 180ml,-,1 btl,TRUE,555,555
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,VCARE SHIKAKAI Shampo 200ml,-,1 pc,TRUE,96,96
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,VIP Haircolor Shampo 20ml,-,1 pkt,TRUE,51,51
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Almond & Rose Soap 125g,-,1 pc,TRUE,45,45
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Anti-Bacterial Soap,-,1 pkt,TRUE,5,5
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,AYURVEDA CLEAR SKIN SOAP 125G,-,1 pc,TRUE,60,60
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,AYUSH SAFFRON SOAP,-,1 pc,TRUE,30,30
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,BATH SOAP75G,-,1 pc,TRUE,28,28
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,BI Soap Basil & Parsley 150g,-,1 pkt,TRUE,90,90
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,BI Soap Himalayan Plum 150g,-,1 pc,TRUE,90,90
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,cetaphil soap,-,1 pkt,TRUE,180,180
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,CHANDHRIKA SOAP 75G,-,1 pc,TRUE,26,26
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,CIN Orgl Soap Sgl 100g,-,1 pc,TRUE,35,35
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,CIN ORIGINAL 4SOAP PACK 135RS,-,1 pkt,TRUE,135,135
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,CIN Soap Cool 75G,-,1 pkt,TRUE,26,26
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,CINTHOL ORIGINAL SOAP 150G,-,1 pkt,TRUE,51,51
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,CINTHOL ORIGINAL SOAP 150G,-,1 pkt,TRUE,49,49
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,CINTHOL ORIGINAL SOAP 150G,-,1 pkt,TRUE,49,49
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cinthol Soap 3 In 1,-,1 pkt,TRUE,129,129
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cinthol Soap 3 In 1,-,1 pkt,TRUE,99,99
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,COOL BLUE SOAP 125G,-,1 pc,TRUE,47,47
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cream & Honey Soap,-,1 pc,TRUE,30,30
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cream&honey Soap,-,1 pc,TRUE,45,45
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Creame care soap 75G,-,1 pkt,TRUE,49,49
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Creame care soap 75G,-,1 pkt,TRUE,54,54
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,creame soft soap125G,-,1 pc,TRUE,170,170
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cucu & coco Soap125gm,-,1 pc,TRUE,45,45
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dettol in soap,-,1 pkt,TRUE,90,90
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dettol Liq Soap Original,-,1 pkt,TRUE,99,99
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,dettol original soaps,-,1 pc,TRUE,200,200
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,DETTOL ORS SOAP 75X4,-,1 pkt,TRUE,107,107
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dove crm Beautubbathing soap 3,-,1 pkt,TRUE,123,123
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dove Soap 75G STAND VAR,-,1 pkt,TRUE,45,45
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,EMB SOAP 125G,-,1 pkt,TRUE,64,68
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,EMB SOAP 125G,-,1 pkt,TRUE,70,70
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,FIAMA GB P&A SOAP375g,-,1 pkt,TRUE,180,180
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Fragant Soap 125G,-,1 pc,TRUE,47,47
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GB SOAP 125G,-,1 pkt,TRUE,64,64
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GHADI SOAP 185g,-,1 pc,TRUE,10,10
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GODREJ NO1 SOAP 63G*4N,-,1 pkt,TRUE,40,40
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GOLD SOAP 125G,-,1 pc,TRUE,80,80
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GOOD MORNING SOAP 125G,-,1 pc,TRUE,47,47
5f96eec9b6627a0017e7882e,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,H/M NEEM&TURMERIC SOAP 125G,-,1 pc,TRUE,45,45
