5fad1c90f5fdf9001782771a,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Name,product_desctiption,weight,Is veg,salePrice,maxRetailPrice
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Boiled Rice 1kg,-,1 pkt,TRUE,52,57
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,BROWN RICE 1KG,-,1 pkt,TRUE,66,70
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,DOSA RICE 1KG,-,1 pkt,TRUE,37,39
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,nut hmt rice 1kg,-,1 pkt,TRUE,64,66
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,nut hmt rice 1kg,-,1 pkt,TRUE,67,69
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,INDIAGATE BASMATIB RICE SUPER 1KG,-,1 pkt,TRUE,165,171
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Red Rice 1kg 24m,-,1 pc,TRUE,120,120
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Bell rice 5kg,-,1 pkt,TRUE,280,300
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Bell Rice 10kg,-,1 bag,TRUE,550,600
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Red Beaten Rice 500G,-,1 pkt,TRUE,78,78
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Pro Nature Beaten Rice - Medium,-,1 pkt,TRUE,40,40
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Beaten Rice 500g,-,1 pkt,TRUE,76,76
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kohinoor Basmati Rice 500G,-,1 pkt,TRUE,90,95
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Basmathi Rice Select,-,1 pkt,TRUE,135,141
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dosabrice1kg,-,1 pkt,TRUE,39,39
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Basmati Rice Super Daawat 1kg+250g,-,1 pkt,TRUE,155,165
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Priya Rice Oil 1liter,-,1 pkt,TRUE,117,130
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Priya Rice Oil 1liter,-,1 pkt,TRUE,129,138
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Basmati Rice Pulav 1kg,-,1 pkt,TRUE,115,120
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,MAATEJA HMT RICE 25KG,-,1 bag,TRUE,1250,1500
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Puffed Rice 200G,-,1 pkt,TRUE,45,45
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Moms Ghee Jerra Rice,-,1 pc,TRUE,40,40
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Basmathi Rice Extra Long,-,1 pc,TRUE,195,225
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,CHINGS SCHEZWAN FRIED RICE MASALA,-,1 pkt,TRUE,10,10
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Oleev Rizolao Rice Bran Oil,-,1 pc,TRUE,150,150
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sonamasoori rice 10Kg,-,1 pc,TRUE,550,765
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cerelac Wheat Rice Mixed Veg,-,1 pc,TRUE,242,242
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Srilalitharice10kg,-,1 bag,TRUE,550,700
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,MTR RICE IDLI 500GM,-,1 pkt,TRUE,110,110
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Idly rice 1kg,-,1 pkt,TRUE,60,63
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Mahateja Rice 25kg,-,1 pc,TRUE,1250,1400
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Brownrice1kg,-,1 pkt,TRUE,69,71
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Basmathi Classic Rice Srilaitha 1kg,-,1 pkt,TRUE,120,150
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,daawat durbar basmitirice,-,1 pkt,TRUE,120,120
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,BROWN RICE SONA MASOORI,-,1 pkt,TRUE,97,97
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Lalitha Rice 5Kg,-,1 pkt,TRUE,320,375
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,SonaMasori Rice 1kg,-,1 pc,TRUE,63,63
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,S.M RICE(Brown)1KG,-,1 pc,TRUE,97,97
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cow Rice 25kg,-,1 bag,TRUE,1250,1500
