5f9ec5522bf8a7de7122facb,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Product Name,product_desctiption,Category,Is veg,Harvest Price,MRP
5f9ec5522bf8a7de7122facb,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Spread-Coco 350GM,-,Hersheys,TRUE,275,275
5f9ec5522bf8a7de7122facb,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Spread-Coco 350GM,-,Hersheys,TRUE,295,295
5f9ec5522bf8a7de7122facb,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Hersheys Syrup Choc bottle  200grm,-,Hershey's,TRUE,90,90
5f9ec5522bf8a7de7122facb,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Delicious Strawberry,-,Hershey's,TRUE,90,90
5f9ec5522bf8a7de7122facb,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Hershey's Choc Syrup Bottle 623g,-,HERSHEY'S,TRUE,200,200
5f9ec5522bf8a7de7122facb,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Soya Milk Vanila,-,Hersheys,TRUE,130,130
5f9ec5522bf8a7de7122facb,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cocoa Spread 350g,-,Hershey's,TRUE,295,295
5f9ec5522bf8a7de7122facb,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,JOLLY POP AST POUCH,-,Hersheys,TRUE,10,10
5f9ec5522bf8a7de7122facb,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Hersheys Caramel Syrup 62,-,HERSHEY'S,TRUE,220,220
5f9ec5522bf8a7de7122facb,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Syrup Pouch 32g,-,Hershey's,TRUE,10,10
5f9ec5522bf8a7de7122facb,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kisses Almond 33.6gm,-,Hershey's,TRUE,50,50
5f9ec5522bf8a7de7122facb,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Brook side  Blueberry & Acai Choco 33.3G,-,Hershey's,TRUE,50,50
5f9ec5522bf8a7de7122facb,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Klsses milk chocolate 33.3 g,-,Hershey's,TRUE,50,50
5f9ec5522bf8a7de7122facb,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Brook side Pomogranite 33.3g,-,Hershey's,TRUE,50,50
5f9ec5522bf8a7de7122facb,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kisses Cookis,-,Hershey's,TRUE,50,50
5f9ec5522bf8a7de7122facb,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Milk shake Almond 200ml,-,HERSHEY'S,TRUE,35,35
5f9ec5522bf8a7de7122facb,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Milk Shake Straberry,-,Hershey's,TRUE,35,35
5f9ec5522bf8a7de7122facb,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Milk Shake Choc 200ml,-,Hersheys,TRUE,35,35
5f9ec5522bf8a7de7122facb,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Hersheys Almond Bar 40gm,-,Hersheys,TRUE,60,60
5f9ec5522bf8a7de7122facb,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Milk Shake Cookies 200ml,-,Hershey's,TRUE,35,35
5f9ec5522bf8a7de7122facb,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Spread Coco 150GM,-,HERSHEY'S,TRUE,160,160
5f9ec5522bf8a7de7122facb,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cocoa 100% Cocoa Natural 225gm,-,Hershey's,TRUE,245,245
5f9ec5522bf8a7de7122facb,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sofit Choco Soya 1litre,-,Hershey's,TRUE,130,130
