5f81d30b0b93470017d3aa55,type,Image,Product Name,product_desctiption,U.O.M,Is veg,Harvest Price,MRP
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Mota Poha 500G,-,1 pkt,TRUE,79,79
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Mota Poha 500G,-,1 pkt,TRUE,40,40
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Phutana 200gms,-,1 pc,TRUE,27,29
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Popcorn 500g,-,1 pkt,TRUE,69,71
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Quinoa 500G,-,1 pkt,TRUE,110,113
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Ragi500g,-,1 pkt,TRUE,30,30
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Rajma Red 500G,-,1 pkt,TRUE,74,76
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Tamarind 200g,-,1 pkt,TRUE,62,67
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Tamarind 500gm,-,1 pc,TRUE,160,168
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Toor dal EG 1 kg,-,1 pkt,TRUE,162,167
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Urad Gundu 1kg,-,1 pkt,TRUE,144,147
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,white rajma 500 g,-,1 pc,TRUE,74,76
