5fa2e8c6616c2500174a5334,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Name,product_desctiption,weight,Is veg,salePrice,maxRetailPrice
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GRB Rasagolla 500g,-,1 btl,TRUE,115,115
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GRB SOAN PAPDI,-,1 pkt,TRUE,65,65
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Aloo Bhujia 350g+50g,-,1 pkt,TRUE,80,80
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Haldiramas khatta Meetha 350gms Pouch,-,1 pkt,TRUE,65,65
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Tasty Nuts 200gms,-,1 pkt,TRUE,45,45
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Garlic Murukku,-,1 pc,TRUE,80,80
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Haldirams soan Papidi 250g Pouch,-,1 pkt,TRUE,65,65
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Telugu Chekodilu,-,1 pkt,TRUE,80,80
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Telugu Ribbon Pakoda,-,1 pkt,TRUE,80,80
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,kara boondhi telugu,-,1 pkt,TRUE,80,80
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Jersey Mysore Pak 200G,-,1 pkt,TRUE,120,120
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GRB Jamun 500gms Tin,-,1 box,TRUE,115,115
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,lite Chiwada 150g,-,1 pkt,TRUE,25,25
