5fad1c36f5fdf90017827719,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Name,product_desctiption,weight,Is veg,salePrice,maxRetailPrice
5fad1c36f5fdf90017827719,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,pro nature rajma  chithra,-,3 pkt,TRUE,146.00,146
5fad1c36f5fdf90017827719,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Himalayan Pink Salt 500g,-,1 pc,TRUE,82.00,82
5fad1c36f5fdf90017827719,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Ragi Flour 500G,-,1 pc,TRUE,60.00,60
5fad1c36f5fdf90017827719,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Coriander Whole,-,1 pc,TRUE,48.00,48
5fad1c36f5fdf90017827719,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,CUMIN WHOLE,-,1 pc,TRUE,76.00,76
5fad1c36f5fdf90017827719,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Chilli Powder 100 Gm,-,1 pc,TRUE,60.00,60
5fad1c36f5fdf90017827719,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Fenugreek 100 Grm,-,1 pc,TRUE,33.00,33
5fad1c36f5fdf90017827719,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Organic Sesame White 200gm,-,1 pkt,TRUE,120.00,120
5fad1c36f5fdf90017827719,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Organic Saunf 100gm,-,1 pkt,TRUE,65.00,65
5fad1c36f5fdf90017827719,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Flax Seeds 3/47,-,1 pc,TRUE,60.00,60
5fad1c36f5fdf90017827719,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Turdal,-,1 pc,TRUE,208.00,208
5fad1c36f5fdf90017827719,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Bay Leaf 50g,-,1 pc,TRUE,40.00,40
5fad1c36f5fdf90017827719,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,MUSTARD SEEDS 200g,-,1 pkt,TRUE,62.00,62
5fad1c36f5fdf90017827719,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Red Poha,-,1 pkt,TRUE,78.00,78
