5fb20f7c183b2d600a64f962,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Name,product_desctiption,UOM,Is veg,Harvest Price,Selling Pric e
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Del Monte Twango Sweet & Sour - 320 Gms,-,320 g,TRUE,80,80
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Del Monte Zingo Sweet Chilli Sauce 320g,-,320 g,TRUE,80,80
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Spread-Coco 350GM,-,350 g,TRUE,275,275
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Spread-Coco 350GM,-,350 g,TRUE,295,295
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Del Monte Fruit Cocktail,-,439 g,TRUE,130,130
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,DM Eggless Mayo 500g,-,500 g,TRUE,105,105
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,DM Eggless Mayo 500g,-,500 g,TRUE,120,120
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kissan Mixed Fruit Jam 500G,-,500 g,TRUE,140,140
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kissan Mixed Fruit Jam 500G,-,500 g,TRUE,150,150
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Peanut Butter 508g,-,500 g,TRUE,240,240
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sandwich Spread 80g,-,80 g,TRUE,35,35
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dr.Oetker Veg Mayonnaise,-,875 g,TRUE,159,159
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,CHINGS SCHEZWAN CHUTNEY,-,250 g,TRUE,80,80
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Classic Mayonnaise,-,245 g,TRUE,69,69
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Fun Foods garlic Veg Maynise,-,250 g,TRUE,69,69
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Chings Green Chilli Sauce,-,200 g,TRUE,50,50
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kissan Mango Jam,-,188 g,TRUE,75,75
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,kissan no onion no garlic,-,200 g,TRUE,65,65
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kissan Peanut Butter,-,350 g,TRUE,175,175
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Maggirich Tomato Sauce,-,200 g,TRUE,60,60
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,PEANUT BUTTER Crunchy,-,200 g,TRUE,100,100
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,pizza and pasta sauce,-,100 g,TRUE,35,35
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,sweet chilli sauce,-,100 g,TRUE,55,55
5fb20f7c183b2d600a64f962,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Nuttela 300 g,-,300 g,TRUE,380,380
