5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,AMUL CHEESE 200G,-,200 g,TRUE,110,110
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,AMUL CHEESE 200G,-,200 g,TRUE,114,114
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,AMUL CHEESE 200G,-,200 g,TRUE,114,114
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Best Brown Eggs 6pack,-,6 pc,TRUE,85,85
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Best Plus Eggs 6pack,-,6 pc,TRUE,73,73
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Amul Buttery Spread Garlic Herb 100x100G,-,100 g,TRUE,49,49
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Chaddar Cheese,-,200 g,TRUE,120,120
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Just Laid Golden Eggs,-,1 pc,TRUE,60,60
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Britannia Butter 100g,-,100 g,TRUE,57,57
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Britannia Cheese Block 400 G,-,400 g,TRUE,290,290
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Britania Butter 500G,-,500 g,TRUE,290,290
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Britannia Cheese Block 200g,-,200 g,TRUE,150,150
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,AMUL CHEESE SLICES,-,10 slices,TRUE,122,122
5f96ec2db6627a0017e7882b,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,britannia Cheese,product_desctiption,5 slices,Is veg,90,90
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Curd 1 Kg,-,1 kg,TRUE,99,99
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,cheese cubes britannia,-,200 g,TRUE,150,150
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,milky misk cheese cubes,-,120 g,TRUE,75,75
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,CHEESE SLICES 200g,-,200 g,TRUE,155,155
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,CHEEZZA cheese for pizza,-,400 g,TRUE,285,285
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Britannia Cheese 200 Gm Block,-,200 g,TRUE,155,155
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,milky misk table butter salted 100gm,-,100 g,TRUE,50,50
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,milky misk table butter salted500gm,-,500 g,TRUE,270,270
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dahi 150G,-,150 g,TRUE,25,25
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cheesy Slices 51Slices,-,51 slices,TRUE,400,400
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Table Butter Salted200g,-,200 g,TRUE,98,98
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Spencers Milk Bread 400gm,-,400 g,TRUE,40,40
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"spencer,s brown bread400gm",-,400 g,TRUE,40,40
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cooking butter 200G,-,200 g,TRUE,105,105
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,DailybFresh Brown shell Eggs 6,-,6 pc,TRUE,69,69
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Milky Mist Gouda Cheese,-,200 g,TRUE,175,175
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Mango Shrikhand yougurt,-,1 pc,TRUE,30,30
5f96ec2db6627a0017e7882b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,milky mist cream cheese,-,80 g,TRUE,175,175
