5f81d30b0b93470017d3aa55,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,NAME,product_desctiption,UOM,Is veg,MRP,MRP
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Urad Dall Split1Kg,-,1 kg,TRUE,137,137
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kabuli Channa 500 G,-,500 MG,TRUE,72,72
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Moong /Pesalu 500g,-,500 MG,TRUE,83,83
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Moong /Pesalu 500g,-,500 MG,TRUE,87,87
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Moong Dal 1 kg,-,1 kg,TRUE,163,163
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Phutana /Bengal Gram500gm,-,500 MG,TRUE,74,74
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Red Chana /Chana Brown 500GM,-,500 g ,TRUE,49,49
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Red Lobiya 500G,-,500 MG,TRUE,60,60
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Toordal/Kandipappu 1Kg,-,1 kg,TRUE,130,160
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Toordal/Kandipappu 500 g,-,500 g,TRUE,65,74
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Masoordal 500G,-,500 MG,TRUE,62,62
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Moong Chilka/Pottu Pesarapappu 500G,-,500 g ,TRUE,83,83
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Soya Rajma 500gm,-,500 MG,TRUE,70,70
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Chana Dal 1kg,-,1 kg,TRUE,119,119
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Moong /Pesalu1kg,-,1 kg,TRUE,173,173
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Udad Chilka 500G,-,500 MG,TRUE,83,83
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Yellow Jawari /Pacha Jonnalu 500G,-,500 MG,TRUE,35,35
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,AASHIRVAAD1kg,-,1 kg,TRUE,56,56
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Grocery Urad Black Split 1KG,-,1 kg,TRUE,130,130
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Green Moong Split,-,500 kg,TRUE,65,80
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Aashirvad Coriander Powder 500 g,-,500 g,TRUE,140,160
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Aashirvad Coriander Powder 100 g,-,100 g,TRUE,30,30
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Tamarind  1kg Green Foredt,-,1 kg,TRUE,285,285
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Chana Brown Small 1kg,-,1 kg,TRUE,100,100
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Grocery  Moong Dal 500G,-,500 MG,TRUE,65,65
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Grocery Moong Dal 1KG,-,1 kg,TRUE,130,130
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Drychilli 100g,-,100 g,TRUE,28,28
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Drychilli 200g,-,200 g,TRUE,53,53
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Grocery Peanut 1Kg,-,1 kg,TRUE,140,140
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Grocery Toor Dal 1kg,-,1 kg,TRUE,120,120
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Tamarind 250 GM Green Forest,-,250 gm,TRUE,73,73
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,aashirvad superior 1kg,-,1 kg,TRUE,56,56
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Aashirvaad  chilli powder 1kg,-,1 kg,TRUE,170,170
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,aashirvaad turmeric 50g,-,50 g,TRUE,14,14
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,aashirvaad  turmeric 100g,-,1 kg,TRUE,28,28
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,aashirvaad turmeric 200g,-,200 g,TRUE,52,52
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,aashirvad superior 5kg,-,500 MG,TRUE,258,258
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,horse gram(ulavulu) 1kg,-,1 kg,TRUE,130,130
5f81d30b0b93470017d3aa55,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,urad whole 500g,product_desctiption,500 MG,Is veg,60,60
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Tamarind 500g Green Forest,-,500 MG,TRUE,144,144
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,10kg Aashirwad Atta,-,500 MG,TRUE,490,490
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Toor dal /Kandi Pappu EG 1 kg,-,1 kg,TRUE,167,167
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,aashirvaad 50gm chilli power,-,50 g,TRUE,17,17
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,aashirvaD chilli power50gm koora karam,-,50 g,TRUE,15,15
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,aashirvaad chillipwr 500+,-,500 g,TRUE,170,170
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,kopra /Endu kobbari 100g,-,100 g,TRUE,35,35
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Jawari atta 500 g,-,500 g,TRUE,38,38
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Makkai Poha,-,400 g,TRUE,40,40
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Motta Poha,-, 500 g,TRUE,40,40
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Urad Chilka ,-, 500 g,TRUE,79,79
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,VSR Maize Rawa 500 g,-, 500 g,TRUE,28,28
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Pop Corn,-, 500 g,TRUE,65,71
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Aashirvad Koora Karam 200 g,-,200 g,TRUE,55,55
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Aashirvad Koora Karam 50 g,-,50 g,TRUE,15,15
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Aashirvad Chilli Powder 100  g,-,100 g,TRUE,30,30
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Aashirvad Chilli Powder 500  g,-,500 g,TRUE,170,170
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Aashirvad Turmaric 200 g,-,200 G,TRUE,56,56
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Aashirvad Turmaric 100 g,-,100 G,TRUE,28,28
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Quinoa 500 g,-,500 g,TRUE,110,113
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Rala rice - Korrallu,-,500 g,TRUE,54,54
5f81d30b0b93470017d3aa55,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kodo Millets,-,500 g,TRUE,62,62
